title,name,price,typeOfBook,rating,reviews
The Art of Statistics: Learning from Data (Pelican Books),"David Spiegelhalter 
(Author)",£10.11£10.11,Kindle Edition,4.5 out of 5 stars,"3,612 ratings"
Storytelling with Data: A Data Visualization Guide for Business Professionals,"Cole Nussbaumer Knaflic 
(Author)",£23.49,Kindle Edition,4.6 out of 5 stars,"4,644 ratings"
"Data Analytics for Absolute Beginners: A Deconstructed Guide to Data Literacy: (Introduction to Data, Data Visualization, Business Intelligence & ... Science, Python & Statistics for Beginners)","Oliver Theobald 
(Author)",£11.79,Kindle Edition,4.3 out of 5 stars,464 ratings
"Data Scientist Coloring Book. A Funny, Unique, Snarky Adult Coloring Book For Stress Relief And Relaxation. Pop Art Cartoon: Novelty Gift Idea For ... Analyst For Graduation & Appreciation","Witty Jobs Junior 
(Author)",£6.85,Paperback,4.5 out of 5 stars,2 ratings
Metalworker's Data Book: No. 42 (Workshop Practice),"Harold Hall 
(Author)",£7.25,Paperback,4.6 out of 5 stars,289 ratings
Microsoft Power BI Data Analyst Certification Guide: A comprehensive guide to becoming a confident and certified Power BI professional,"Orrin Edenfield 
(Author),",£33.99£33.99,Kindle Edition,4.0 out of 5 stars,44 ratings
How to Win the Premier League: The Inside Story of Football’s Data Revolution,"Ian Graham 
(Author)",£16.99,Kindle Edition,Previous slide of product details,
"Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning","Alex J. Gutman 
(Author),",£23.09,Kindle Edition,4.6 out of 5 stars,310 ratings
Engineers′ Data Book,"Clifford Matthews 
(Author)",£16.25£16.25,Kindle Edition,4.6 out of 5 stars,176 ratings
Data Visualisation: A Handbook for Data Driven Design,"Andy Kirk 
(Author)",£44.23£44.23,Kindle Edition,4.4 out of 5 stars,192 ratings
Data Grab: The new Colonialism of Big Tech and how to fight back,"Ulises A. Mejias 
(Author),",£15.77,Kindle Edition,4.7 out of 5 stars,8 ratings
AI & Data Literacy: Empowering Citizens of Data Science,"Bill Schmarzo 
(Author)",£22.99,Kindle Edition,4.6 out of 5 stars,33 ratings
Daphne Draws Data: A Storytelling with Data Adventure,"Cole Nussbaumer Knaflic 
(Author),",£15.63,Audiobook,Previous slide of product details,
Fundamentals of Data Engineering: Plan and Build Robust Data Systems,"Joe Reis 
(Author),",£43.86,Kindle Edition,4.7 out of 5 stars,449 ratings
The Boat Data Book 8th Edition: The Owners' and Professionals' Bible,"Ian Nicolson 
(Author),",£26.05£26.05,Paperback,Previous slide of product details,
Sniper Data Book: Rifle Shooting Log for the Tactical Marksman | Track & Improve Your Precision!,"Planda Press 
(Author)",£5.99,Paperback,4.5 out of 5 stars,42 ratings
"Effortless Arthritis Jar Opener for Seniors,Non-Slip Bottle Opener,Can Opener Manual Lid Opener, Multifunctional Lid Opener for Weak Hands Seniors (White, 2 PCS)",,£19.99£19.99,,1.0 out of 5 stars,1 rating
