title,name,sellingPrice,listingPrice,typeOfBook,printLength,publicationDate,rating,reviews,availability
The Art of Statistics: Learning from Data (Pelican Books),"David Spiegelhalter 
(Author)",£10.11,RRP: £10.99,Paperback – 13 Feb. 2020,Print length      448 pages,Publication date      13 Feb. 2020,4.5 out of 5 stars,"3,615 ratings",In stock
"Data Scientist Coloring Book. A Funny, Unique, Snarky Adult Coloring Book For Stress Relief And Relaxation. Pop Art Cartoon: Novelty Gift Idea For ... Analyst For Graduation & Appreciation","Witty Jobs Junior 
(Author)",£6.85,,"Paperback – Large Print, 30 July 2022",Print length      72 pages,Publication date      30 July 2022,4.5 out of 5 stars,2 ratings,In stock
Storytelling with Data: A Data Visualization Guide for Business Professionals,"Cole Nussbaumer Knaflic 
(Author)",£23.49,RRP: £32.95,Paperback – 20 Nov. 2015,Print length      288 pages,Publication date      20 Nov. 2015,4.6 out of 5 stars,"4,651 ratings",In stock
"Data Analytics for Absolute Beginners: A Deconstructed Guide to Data Literacy: (Introduction to Data, Data Visualization, Business Intelligence & ... Science, Python & Statistics for Beginners)","Oliver Theobald 
(Author)",£11.79,,Paperback – 21 July 2019,Print length      159 pages,Publication date      21 July 2019,4.3 out of 5 stars,464 ratings,In stock
"Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning","Alex J. Gutman 
(Author),",£23.09,RRP: £33.00,Paperback – 24 Jun. 2021,Print length      272 pages,Publication date      24 Jun. 2021,4.6 out of 5 stars,310 ratings,In stock
How to Win the Premier League: The Inside Story of Football’s Data Revolution,"Ian Graham 
(Author)",£16.99,RRP: £22.00,Hardcover – 15 Aug. 2024,Print length      320 pages,Publication date      15 Aug. 2024,Previous slide of product details,,"This title will be released on August 15, 2024.  Pre-order now."
Microsoft Power BI Data Analyst Certification Guide: A comprehensive guide to becoming a confident and certified Power BI professional,"Orrin Edenfield 
(Author),",£33.99,,Paperback – 24 Jun. 2022,Print length      398 pages,Publication date      24 Jun. 2022,4.0 out of 5 stars,44 ratings,In stock
AI & Data Literacy: Empowering Citizens of Data Science,"Bill Schmarzo 
(Author)",£22.99,,Paperback – 9 Aug. 2023,Print length      202 pages,Publication date      9 Aug. 2023,4.6 out of 5 stars,33 ratings,In stock
Data Grab: The new Colonialism of Big Tech and how to fight back,"Ulises A. Mejias 
(Author),",£15.16,RRP: £22.00,Hardcover – 8 Feb. 2024,Print length      320 pages,Publication date      8 Feb. 2024,4.7 out of 5 stars,8 ratings,In stock
Engineers′ Data Book,"Clifford Matthews 
(Author)",£16.25,,Paperback – 27 Jan. 2012,Print length      344 pages,Publication date      27 Jan. 2012,4.6 out of 5 stars,176 ratings,In stock
The Boat Data Book 8th Edition: The Owners' and Professionals' Bible,"Ian Nicolson 
(Author),",£28.92,RRP: £32.99,Paperback – 4 July 2024,Print length      240 pages,Publication date      4 July 2024,Previous slide of product details,,In stock
"Data Analytics, Data Visualization & Communicating Data: 3 books in 1: Learn the Processes of Data Analytics and Data Science, Create Engaging Data ... Present Data Effectively (All Things Data)","Elizabeth Clarke 
(Author)",£27.99,,Paperback – 10 Nov. 2022,Print length      528 pages,Publication date      10 Nov. 2022,4.3 out of 5 stars,47 ratings,In stock
Data Visualisation: A Handbook for Data Driven Design,"Andy Kirk 
(Author)",£44.25,RRP: £47.99,Paperback – 20 Aug. 2019,Print length      328 pages,Publication date      20 Aug. 2019,4.4 out of 5 stars,192 ratings,In stock
Fundamentals of Data Engineering: Plan and Build Robust Data Systems,"Joe Reis 
(Author),",£41.44,RRP: £63.99,Paperback – 5 July 2022,Print length      446 pages,Publication date      5 July 2022,4.7 out of 5 stars,449 ratings,In stock
Daphne Draws Data: A Storytelling with Data Adventure,"Cole Nussbaumer Knaflic 
(Author),",£15.63,RRP: £16.99,Hardcover – 29 Oct. 2024,Print length      32 pages,Publication date      29 Oct. 2024,Previous slide of product details,,"This title will be released on October 29, 2024.  Pre-order now."
"Deciphering Data Architectures: Choosing Between a Modern Data Warehouse, Data Fabric, Data Lakehouse, and Data Mesh","James Serra 
(Author)",£42.99,RRP: £63.99,Paperback – 12 Mar. 2024,Print length      275 pages,Publication date      12 Mar. 2024,4.2 out of 5 stars,40 ratings,In stock
